Date,Open,High,Low,Close,Volume
08/11/2019,53200,53300,52000,52100,11603290
11/11/2019,52200,52200,51400,51600,8185952
12/11/2019,51800,52600,51600,52600,6576148
13/11/2019,52500,52500,52000,52500,6225196
14/11/2019,51900,52800,51900,52800,12010018
15/11/2019,52900,53700,52600,53700,9703360
18/11/2019,53600,53800,53200,53500,7746554
19/11/2019,53200,53500,52700,53500,8907177
20/11/2019,53400,53400,52000,52000,12560070
21/11/2019,51600,52100,50600,51000,14298646
22/11/2019,51000,51600,50900,51600,8478310
25/11/2019,52200,52600,51700,51800,9050625
26/11/2019,51900,52900,51800,51800,27372226
27/11/2019,51800,52300,51600,52200,7546261
28/11/2019,51900,52100,51300,51300,6833885
29/11/2019,51200,51400,50200,50300,11179334
02/12/2019,50900,51300,50400,50400,18877252
03/12/2019,49800,50300,49500,49900,12059812
04/12/2019,49600,49850,49000,49450,13246549
05/12/2019,50200,50400,49500,49500,10449715
06/12/2019,50100,50900,49950,50400,11414563
09/12/2019,50900,51400,50700,51200,8470627
10/12/2019,51000,51600,50700,51500,6882771
11/12/2019,51500,52200,51400,51900,11379521
12/12/2019,53000,53300,52700,53300,29178697
13/12/2019,54500,54800,53900,54700,18120261
16/12/2019,54500,54900,54300,54700,11512405
17/12/2019,55800,56700,55400,56700,19358433
18/12/2019,56700,57200,56000,56300,15558208
19/12/2019,57000,57300,55500,56000,14180520
20/12/2019,56100,56500,55600,56000,12095519
23/12/2019,56100,56400,55100,55500,9839252
24/12/2019,55600,55700,54800,55000,11868463
26/12/2019,54700,55400,54400,55400,9645034
27/12/2019,55700,56900,55500,56500,12313056
30/12/2019,56200,56600,55700,55800,8356767
02/01/2020,55500,56000,55000,55200,12993228
03/01/2020,56000,56600,54900,55500,15422255
06/01/2020,54900,55600,54600,55500,10278951
07/01/2020,55700,56400,55600,55800,10009778
08/01/2020,56200,57400,55900,56800,23501171
09/01/2020,58400,58600,57400,58600,24102579
10/01/2020,58800,59700,58300,59500,16000170
13/01/2020,59600,60000,59100,60000,11359139
14/01/2020,60400,61000,59900,60000,16906295
15/01/2020,59500,59600,58900,59000,14300928
16/01/2020,59100,60700,59000,60700,14381774
17/01/2020,61900,62000,61000,61300,16025661
20/01/2020,62000,62800,61700,62400,12528855
21/01/2020,62000,62400,61200,61400,11142693
22/01/2020,60500,62600,60400,62300,15339565
23/01/2020,61800,61800,60700,60800,14916555
28/01/2020,59400,59400,58300,58800,23664541
29/01/2020,59100,59700,58800,59100,16446102
30/01/2020,58800,58800,56800,57200,20821939
31/01/2020,57800,58400,56400,56400,19749457
03/02/2020,55500,57400,55200,57200,23995260
04/02/2020,57100,59000,56800,58900,21800192
05/02/2020,60000,60200,58900,59500,19278165
06/02/2020,60100,61100,59700,61100,14727159
07/02/2020,61100,61200,59700,60400,16402493
10/02/2020,59200,59800,59100,59700,13107121
11/02/2020,59800,60700,59700,59900,11071231
12/02/2020,60300,60700,59700,60500,12904207
13/02/2020,61200,61600,60500,60700,18449775
14/02/2020,60900,61900,60200,61800,13276067
17/02/2020,61600,62000,61200,61500,8740596
18/02/2020,60800,60900,59700,59800,16674266
19/02/2020,59800,60400,59400,60200,12951496
20/02/2020,60700,61300,59600,60000,14591924
21/02/2020,58800,59800,58500,59200,13777393
24/02/2020,57400,58100,56800,56800,25627537
